page	start	end	notes
275	ⲟⲩⲱⲧⲉⲃ	ⲟⲩⲱⲧⲉⲛ	
276	ⲟⲩⲱⲧⲥ	ⲟⲩⲱⲱϣⲉ	
277	ⲟⲩⲱϣ	ⲟⲩⲱϣ	
278	ⲟⲩⲱϣ	ⲟⲩⲱϣⲃ	
279	ⲟⲩⲱϣⲉⲙ	ⲟⲩⲱϣⲧ	
280	ⲟⲩⲱϣϥ	ⲟⲩⲱϩ	
281	ⲟⲩⲱϩ	ⲟⲩⲱϩ	
282	ⲟⲩⲱϩ	ⲟⲩⲱϩⲉⲙ	
283	ⲟⲩⲱϩⲛ	ⲟⲩⲱϫⲡ	
284	ⲟⲩⲱϭ	ⲟⲩϣⲏ	
285	ⲟⲩϧⲉ	ⲟⲩϫⲁⲓ	
286	ⲡ	ⲡⲁⲡⲉ	
287	ⲡⲁⲡⲟⲓ	ⲡⲁϣⲉ	
288	ⲡⲁϣⲕⲟⲩⲣ	ⲡⲁϩⲧ	
289	ⲡⲁϩⲟⲩ	ⲡⲉ	
290	ⲡⲉ	ⲡⲉⲑ	
291	ⲡⲉⲑⲱⲙ	ⲡⲉⲣⲙⲟⲩ	
292	ⲡⲉⲣⲛⲉϩ	ⲡⲉϣⲥ	
293	ⲡⲉϥ	ⲡⲏⲧ	
294	ⲡⲏⲩⲉ	ⲡⲗϭ	
295	ⲡⲗϭⲉ	ⲡⲟⲟⲛⲉ	
296	ⲡⲟⲟⲛⲉⲥ	ⲡⲟⲣϫ	
297	ⲡⲟⲥⲉ	ⲡⲟϭⲉ	
298	ⲡⲟϭⲗⲉ	ⲡⲱⲗϩ	
299	ⲡⲱⲗϫ	ⲡⲱⲛⲕ	
300	ⲡⲱⲣⲕ	ⲡⲱⲣϫ	
301	ⲡⲱⲧ	ⲡⲱⲧ	
302	ⲡⲱⲧⲥ	ⲡⲱⲱⲛⲉ	
303	ⲡⲱⲱⲛⲉ	ⲡⲱⲱⲛⲉ	
304	ⲡⲱⲱⲛⲉ	ⲡⲱϣⲥ	
305	ⲡⲱϩ	ⲡⲱϩⲧ	
306	ⲡⲱϩⲧ	ⲡϣⲱⲓ	
307	ⲡϣⲱⲓ	ⲡϫⲓϫⲃⲏⲣ	
308	ⲣ	ⲣⲁⲃⲏ	
309	ⲣⲁⲃⲏⲟⲩⲧ	ⲣⲁⲕⲓ	
310	ⲣⲁⲕⲟϯ	ⲣⲁⲛ	
311	ⲣⲁⲛⲁ	ⲣⲁⲟⲩⲏ	
312	ⲣⲁⲟⲩⲏⲟⲩⲧ	ⲣⲁⲥϯ	
313	ⲣⲁⲧ	ⲣⲁⲧ	
314	ⲣⲁⲧ	ⲣⲁϣⲓ	
315	ⲣⲁϣⲓ	ⲣⲁϧⲧ	
316	ⲣⲁϩⲧ	ⲣⲉⲙ	
317	ⲣⲉⲙⲣⲁⲩϣ	ⲣⲉϣ	
318	ⲣⲉϥ	ⲣⲏⲥ	
319	ⲣⲏⲥ	ⲣⲏϯ	
320	ⲣⲏϯ	ⲣⲓⲕⲓ	
321	ⲣⲓⲕⲓ	ⲣⲓⲕⲓ	
322	ⲣⲓⲙⲓ	ⲣⲓⲣ	
