ⲁⲗⲗⲟⲅⲉⲛⲏⲥ	(Gk); (adj.) Stranger, of another race.
(1) ⲁⲗⲗⲟⲏ	"(6a); (m.) Salamandar; an eastern
   bird."
(2) ⲁⲗⲗⲟⲏ	(Gk?); (m.) A plant.
ⲁⲗⲗⲟⲕⲓ (v.) ⲁⲗⲗⲱⲕⲓ	Banana.
ⲁⲗⲗⲟⲩ	(5a); (f.) Eye's pupil.
ⲁⲗⲗⲟⲧⲣⲓⲟⲛ	(Gk); Unknown.
ⲁⲗⲗⲟⲫⲩⲗⲟⲥ	"(Gk); (adj.) Of another tribe,
   foreign, strange; of a different kind."
ⲁⲗⲗⲱⲕⲏ (v.) ⲁⲗⲗⲱⲕⲓ	Banana.
ⲁⲗⲗⲱⲕⲓ , –ⲱⲕⲏ , –ⲟⲕⲓ	(6a); (m.) Banana.
ⲁⲗⲟⲅⲟⲛ (v.) ⲁⲗⲟⲅⲟⲥ	Irrational.
ⲁⲗⲟⲅⲟⲥ , –ⲟⲛ	"(Gk); (adj.) Speechless,
   unutterable, irrational, absurd."
ⲁⲗⲟⲏ , –ⲏⲥ	(Gk) (f.) The aloe.
ⲁⲗⲟⲏⲥ (v.) ⲁⲗⲟⲏ	Aloe.
ⲁⲗⲟⲕ	(5b); (m.) Corner, angle.
ⲁⲗⲟⲗⲓ , ⲁⲗ– , ⲉⲗ– , ⲗⲉⲗⲓ–	"(54b); (m.) & sg as (pl.) Grape, vine;
   ⲁⲗϣⲱⲟⲩ : (m.) Raisen; ⲃⲱ ⲛⲁⲗⲟⲗⲓ : (f.) Vine; ⲗⲉⲗⲉⲭⲏⲙⲓ : (m.) Bruise;
   ⲙⲁ ⲛⲁⲗⲟⲗⲓ : (m.) Vineyard."
ⲁⲗⲟϫ , (pl.) ⲁⲗⲱϫ	"(7a); (m.) Arms (pl);
   knees (pl); shoulder (pl); thigh."
ⲁⲗⲟⲩ , (pl.) ⲁⲗⲱⲟⲩⲓ	"(5a); (mf.) Youth, boy, girl, maiden, servant;
   ⲙⲉⲧⲁⲗⲟⲩ : (f.) Time of youth,
   youthfulness;
   ⲙⲉⲧⲣⲉϥϧⲁⲧⲉⲃⲁⲗⲟⲩ : (m.) Child- slaying;
   ⲉⲣⲁⲗⲟⲩ : (vb.) To be young."
ⲁⲗⲟⲩⲃⲉϩ	(3b); (n.) A white shining spot.
ⲁⲗⲟⲩⲃⲉϩ (v.) ⲃⲁⲗⲙⲃⲉϩ	Bald.
ⲁⲗⲫⲁ	"(Gk); (m.) 1st letter of the alphabet;
   ⲁⲗⲫⲁⲃⲏⲧⲟⲥ , –ⲟⲛ : (m.) The alphabet;
   ⲁⲗⲫⲁⲃⲏⲧⲁⲣⲓⲟⲛ : (m.) Pronunciation
   book, elementary reading book."
ⲁⲗⲫⲁⲃⲏⲧⲁⲣⲓⲟⲛ (v.) ⲁⲗⲫⲁ	Pronunciation book.
ⲁⲗⲫⲁⲃⲏⲧⲟⲛ (v.) ⲁⲗⲫⲁ	Alphabet.
ⲁⲗⲫⲁⲃⲏⲧⲟⲥ (v.) ⲁⲗⲫⲁ	Alphabet.
ⲁⲗⲱⲙ	(670a); (m.) Cheese.
ⲁⲗⲱⲟⲩ , –ⲟⲩⲓ	(6b); (pl.) Bunch (of grapes).
ⲁⲗⲱⲟⲩⲓ (v.) ⲁⲗⲟⲩ	Youth.
ⲁⲗⲱⲟⲩⲓ (v.) ⲁⲗⲱⲟⲩ	Bunch.
ⲁⲗⲱϫ (v.) ⲁⲗⲟϫ	Arms.
ⲁⲗϣⲱⲟⲩ (v.) ⲁⲗⲟⲗⲓ	Raisin.
ⲁⲗⲁϫⲓ	(6b); (pl.) Whales.
ⲁⲙⲁⲓⲟⲩ (v.) iom	Seas.
ⲁⲙ– (v.) ϩⲁⲙ–	Craftsman.
ⲁⲙⲁⲗⲏϫ	"(7b); (vi.) Embrace;
   ϫⲓⲛⲉⲣⲁⲙⲁⲗⲏϫ : (m.) Act of embracing."
ⲁⲙⲁϩⲓ	"(9a); (vi.) To prevail, rule, be in
   possession, lay hold on, restrain; (vt.) To
   grasp, embrace, possess, restrict, detain;
   --- ⲉϫⲉⲛ– : (vb.) To rule have power over;
   --- ⲛⲉⲙ– : (vb.) To hold with, support;
   --- ϩⲓϫⲉⲛ– : (vb.) To hold back, detain;
   ---: (m.) Power, possession;
   ⲁⲧⲁⲙⲁϩⲓ : (adj.) Unrestrained, uncon- trollable;
   ⲙⲉⲧⲁⲧⲁⲙⲁϩⲓ : (f.) Uncontrolled-
   ness, incontinence."
ⲁⲙⲉ , ⲁⲙⲏ	(55b); (f.) Hoe (for digging).
ⲁⲙⲉⲑⲩⲥⲧⲟⲥ	"(Gk); (m.) A precious stone
   `Amethyst'."
ⲁⲙⲉⲗⲉⲓⲁ	"(Gk); (n.) Character or conduct of a carelss, heedless or negligent person;
   indeference."
ⲁⲙⲉⲗⲉⲥ = ⲁⲙⲉⲗⲏⲥ	Careless.
ⲁⲙⲉⲗⲏⲥ	"(Gk); Negligent, careless,
   heedless."
ⲁⲙⲉⲛϯ	(8b); (m.) Hades.
ⲁⲙⲉⲧⲣⲏⲧⲏ (v.) ⲁⲙⲉⲧⲣⲏⲧⲟⲥ	Immense.
ⲁⲙⲉⲧⲣⲏⲧⲏⲥ (v.) ⲁⲙⲉⲧⲣⲏⲧⲟⲥ	Immense.
ⲁⲙⲉⲧⲣⲏⲧⲟⲥ	"(Gk); (adj.) Unmeasured,
   unmeasurable, immense, unnumbered, countless, exhaustless;
   ⲁⲙⲉⲧⲣⲏⲧⲏ , –ⲏⲥ : Same meaning."
ⲁⲙⲏ (v.) ⲁⲙⲉ	Hoe.
ⲁⲙⲏ (v.) ⲁⲙⲟⲩ	Come!
ⲁⲙⲏⲓⲣⲓ	(56a); (f.) Inundation, high water.
ⲁⲙⲏⲛ	"(Heb); (adv.) Verily, of a truth, so be
   it; amen."
ⲁⲙⲏⲣ	(679a); (m.) Arms, embrace.
ⲁⲙⲏⲟⲩ	(7a); (m.) Herd (of cattle or sheep).
ⲁⲙⲏϣ	(56a); (m.) Anvil.
ⲁⲙⲓⲁⲛⲧⲟⲥ	(Gk); (adj.) Undefiled, pure.
ⲁⲙⲓⲛ	(7b); (m.) Pot (of soapstone).
ⲁⲙⲓⲥⲓ	(56a); (m.) Dill, anise.
ⲁⲙⲙⲟⲛⲓⲁⲕⲟⲛ (v.) ⲁⲙⲙⲟⲛⲓⲁⲕⲟⲥ	"Am-
   monia."
ⲁⲙⲙⲟⲛⲓⲁⲕⲟⲥ ,, –ⲟⲛ	(Gk?); (m.) A kind of plant; ammonia.
ⲁⲙⲛ (v.) ⲙⲛⲁ	Manna.
ⲁⲙⲛⲁ	"(7b); (m.) Type of herb or perfume;
   manna."
ⲁⲙⲛⲟⲥ	(Gk); (m.) A lamb.
ⲁⲙⲟⲓ	(675a); (interj.) Would, o that.
(1) ⲁⲙⲟⲛⲓ	"(8a); (vi.) To prevail, be in possession, be strong; (vt.) Seize, possess, detain;
   --- ⲉϫⲉⲛ– : (vb.) Same meaning;
   --- ⲛⲉⲙ– : (vb.) To support, help;
   --- ⲛⲧⲉⲛ– : (vb.) To hold, be in possession
   of; endure, wait for;
   --- ϩⲓϫⲉⲛ– : (vb.) To overcome;
   --- ϩⲓϫⲱϥ , ⲁⲧϣⲁⲙⲟⲛⲓ ⲛⲧⲉⲛ– : (adj.)
   Unrestrained, uncontrollable;
   ⲙⲉⲧⲁⲧϣⲁⲙⲟⲛⲓ ⲛⲧⲉⲛ– : (f.) Un- controlledness, intemperance;
   ---: (m.) Handle;
   --- ⲛⲧⲉⲛ– : (m.) Endurance, patience;
   ⲙⲉⲧⲣⲉϥⲁⲙⲟⲛⲓ ⲛⲧⲉⲛ– : (f.) Endu-
   rance;
   ϫⲓⲛⲁⲙⲟⲛⲓ : (m.) Arrest, restrain."
