page	start	end
675	ϩⲁⲉⲓⲙⲉ	ϩⲏⲙⲉ
676	ϩⲏⲙⲉ	ϩⲙⲟⲩ
677	ϩⲟⲙⲃⲉ	ϩⲙⲙⲉ
678	ϩⲙⲙⲉ	ϩⲙⲛⲧⲱⲣⲉ
679	ϩⲙⲛⲓϥⲉ	ϩⲙⲟⲟⲥ
680	ϩⲙⲟⲟⲥ	ϩⲙⲟⲟⲥ
681	ϩⲟⲙⲧ	ϩⲙⲟⲧ
682	ϩⲁⲙⲉⲧⲉ	ϩⲙⲟϫ
683	ϩⲁⲛ	ϩⲛ
684	ϩⲛ	ϩⲛ
685	ϩⲉⲛ	ϩⲟⲩⲛ
686	ϩⲟⲩⲛ	ϩⲟⲩⲛ
687	ϩⲱⲛ	ϩⲱⲛ
688	ϩⲱⲛ	ϩⲏⲛⲉ
689	ϩⲏⲛⲉ	ϩⲟⲉⲓⲛⲉ
690	ϩⲱⲛⲉ	ϩⲛⲟ
691	ϩⲓⲛⲏⲃ	ϩⲱⲛⲧ
692	ϩⲉⲛⲉⲉⲧⲉ	ϩⲛⲁⲁⲩ
693	ϩⲛⲁⲩ	ϩⲁⲡ
694	ϩⲁⲡ	ϩⲁⲡ
695	ϩⲁⲁⲡ	ϩⲱⲡ
696	ϩⲱⲡ	ϩⲓⲣ
697	ϩⲓⲣ	ϩⲣⲁ
698	ϩⲣⲁ	ϩⲣⲁⲓ
699	ϩⲣⲁⲓ	ϩⲣⲁⲓ
700	ϩⲣⲁⲓ	ϩⲣⲁⲓ
701	ϩⲣⲉ	ϩⲣⲃ
702	ϩⲣⲃ	ϩⲣⲟⲕ
703	ϩⲉⲣⲕⲟⲩ	ϩⲁⲣⲡϣⲱⲧ
704	ϩⲣⲏⲣ	ϩⲣⲟⲟⲩ
705	ϩⲣⲟⲩⲣ	ϩⲣⲟⲩⲣ
706	ϩⲣⲟⲩⲱⲣ	ϩⲣⲟϣ
707	ϩⲣⲟϣ	ϩⲁⲣⲉϩ
708	ϩⲣⲟϩ	ϩⲣⲟϫⲣⲉϫ
709	ϩⲱⲣϭ	ϩⲱⲥ
710	ϩⲱⲥ	ϩⲓⲥⲉ
711	ϩⲓⲥⲉ	ϩⲓⲥⲉ
712	ϩⲓⲥⲉ	ϩⲓⲥⲉ
713	ϩⲓⲥⲉ	ϩⲁⲉⲓⲧ
714	ϩⲉⲧ	ϩⲏⲧ
715	ϩⲏⲧ	ϩⲏⲧ
716	ϩⲏⲧ	ϩⲏⲧ
717	ϩⲏⲧ	ϩⲏⲧ
718	ϩⲏⲧ	ϩⲱⲧ
719	ϩⲱⲧ	ϩⲓⲧⲉ
720	ϩⲟⲉⲓⲧⲉ	ϩⲟⲧⲉ
721	ϩⲟⲧⲉ	ϩⲟⲧⲉ
722	ϩⲟⲧⲉ	ϩⲧⲁⲉⲓ
723	ϩⲧⲏ	ϩⲱⲧⲃ
724	ϩⲁⲧⲏⲗ	ϩⲱⲧⲡ
