key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
8032	19	3637	^^^ eJn-	0				715b	29	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8032.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715b	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	1
8033	19	3637	^^^ n- *^dat^*	0				715b	30	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8033.html	<i><b>c</b></i> ⲛ- {dat}	<i><b>c</b></i> ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat} (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715b	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	1
8034	19	3637	^^^ nsa-	0				715b	31	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8034.html	<i><b>c</b></i> ⲛⲥⲁ-	<i><b>c</b></i> ⲛⲥⲁ-	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715b	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	ⲛⲥⲁ- (c)	1
8035	19	3637	atr Hth=	0	unrepentant	unrepentant		715b	32	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8035.html	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	-		unrepentant	unrepentant	unrepentant	unrepentant	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715b	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	ⲁⲧⲣ ϩⲧⲏ=	1
8036	19	3637	mntr Hth=	0	 /$gk: [[anqomologhsis]]$/	 /$gk: [[anqomologhsis]]$/	anqomologhsis	716a	33	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8036.html	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	-	ανθομολογησισ	[ανθομολογησισ]		"<span style=""opacity:0.7"">[ανθομολογησισ]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%BD%CE%B8%CE%BF%CE%BC%CE%BF%CE%BB%CE%BF%CE%B3%CE%B7%CF%83%CE%B9%CF%83"">ανθομολογησισ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716a	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	ⲙⲛⲧⲣ ϩⲧⲏ=	1
8037	19	3637	mntreFr HthF	0				716a	34	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8037.html	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716a	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	ⲙⲛⲧⲣⲉϥⲣ ϩⲧⲏϥ	1
3638	19	0	(S) swk H.	0	draw heart, persuade	draw heart, persuade		716a	35	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3638.html	(S) ⲥⲱⲕ ϩ.	(S) ⲥⲱⲕ ϩ.	ⲥⲱⲕ ϩ.	(S) ⲥⲱⲕ ϩ.	-		draw heart, persuade	draw heart, persuade	draw heart, persuade	draw heart, persuade	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716a	ⲥⲱⲕ ϩ.										0
3639	19	0	(S,B) H. smine,H. semni	0	heart be established, mind steadied	heart be established, mind steadied		716a	36	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3639.html	(S, B) ϩ. ⲥⲙⲓⲛⲉ, ϩ. ⲥⲉⲙⲛⲓ	(S, B) ϩ. ⲥⲙⲓⲛⲉ, ϩ. ⲥⲉⲙⲛⲓ	ϩ. ⲥⲙⲓⲛⲉ, ϩ. ⲥⲉⲙⲛⲓ	(S, B) ϩ. ⲥⲙⲓⲛⲉ, ϩ. ⲥⲉⲙⲛⲓ	-		heart be established, mind steadied	heart be established, mind steadied	heart be established, mind steadied	heart be established, mind steadied	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716a	ϩ. ⲥⲙⲓⲛⲉ, ϩ. ⲥⲉⲙⲛⲓ					ϩ. ⲥⲙⲓⲛⲉ, ϩ. ⲥⲉⲙⲛⲓ					0
3640	19	0	(S,A,sA,B,F) T H.,T nH.	0	pay heed, observe /$gk: [[prosexein, katanoein]]$/	pay heed, observe /$gk: [[prosexein, katanoein]]$/	prosexein, katanoein	716a	37	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3640.html	(S, A, sA, B, F) ϯ ϩ., ϯ ⲛϩ.	(S, A, sA, B, F) ϯ ϩ., ϯ ⲛϩ.	ϯ ϩ., ϯ ⲛϩ.	(S, A, sA, B, F) ϯ ϩ., ϯ ⲛϩ.	-	προσεχειν, κατανοειν	pay heed, observe [προσεχειν, κατανοειν]	pay heed, observe	"pay heed, observe <span style=""opacity:0.7"">[προσεχειν, κατανοειν]</span>"	"pay heed, observe <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CF%81%CE%BF%CF%83%CE%B5%CF%87%CE%B5%CE%B9%CE%BD"">προσεχειν</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CE%B1%CF%84%CE%B1%CE%BD%CE%BF%CE%B5%CE%B9%CE%BD"">κατανοειν</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716a	ϯ ϩ., ϯ ⲛϩ.			ϯ ϩ., ϯ ⲛϩ.	ϯ ϩ., ϯ ⲛϩ.	ϯ ϩ., ϯ ⲛϩ.	ϯ ϩ., ϯ ⲛϩ.				0
8038	19	3640	^^^ e-	0	give mind, devote self to | give heed to, be careful of	give mind, devote self to | give heed to, be careful of		716a	38	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8038.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	ⲉ- (c)	ⲉ- (c)	-		"give mind, devote self to
give heed to, be careful of"	"give mind, devote self to
give heed to, be careful of"	"give mind, devote self to
give heed to, be careful of"	"give mind, devote self to
give heed to, be careful of"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716a	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	1
8039	19	3640	^^^ eJn-	0				716b	39	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8039.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	1
8040	19	3640	^^^ n- *^dat^*	0				716b	40	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8040.html	<i><b>c</b></i> ⲛ- {dat}	<i><b>c</b></i> ⲛ- {dat}	ⲛ- {dat} (c)	ⲛ- {dat} (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	ⲛ- {dat} (c)	1
8041	19	3640	(S) ^^^ Hi-	0				716b	41	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8041.html	(S) <i><b>c</b></i> ϩⲓ-	(S) <i><b>c</b></i> ϩⲓ-	ϩⲓ- (c)	(S) ϩⲓ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ϩⲓ- (c)										1
8042	19	3640	(S) ^^^ Hn-	0				716b	42	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8042.html	(S) <i><b>c</b></i> ϩⲛ-	(S) <i><b>c</b></i> ϩⲛ-	ϩⲛ- (c)	(S) ϩⲛ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ϩⲛ- (c)										1
8043	19	3640	(S) ^^^ eHoun	0				716b	43	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8043.html	(S) <i><b>c</b></i> ⲉϩⲟⲩⲛ	(S) <i><b>c</b></i> ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ (c)	(S) ⲉϩⲟⲩⲛ (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ⲉϩⲟⲩⲛ (c)										1
8044	19	3640	mntatT HthF,metatT HthF	0	heedlessness	heedlessness		716b	44	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8044.html	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	-		heedlessness	heedlessness	heedlessness	heedlessness	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	ⲙⲛⲧⲁⲧϯ ϩⲧⲏϥ, ⲙⲉⲧⲁⲧϯ ϩⲧⲏϥ	1
8045	19	3640	reFT Hth=	0	giving mind, attentive	giving mind, attentive		716b	45	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8045.html	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	-		giving mind, attentive	giving mind, attentive	giving mind, attentive	giving mind, attentive	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	ⲣⲉϥϯ ϩⲧⲏ=	1
8046	19	3640	(B) Jin..T H.	0	observation	observation		716b	46	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8046.html	(B) ϫⲓⲛϯ ϩ.	(B) ϫⲓⲛϯ ϩ.	ϫⲓⲛϯ ϩ.	(B) ϫⲓⲛϯ ϩ.	-		observation	observation	observation	observation	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b						ϫⲓⲛϯ ϩ.					1
3641	19	0	(S,sA) Sn H. (sA,B,F) Sen H. (B) San H. (F) Sin H. (S,A,sA) Sn Hth= (S) Sen$^e^$ Hth= (S,A,sA,B,F) San Hth= (S,B,F) Sana Hth= (S) Sane Hth=	0	pitiful of heart |$ (as vb), have pity |$ (as nn m)	pitiful of heart |$ (as vb), have pity |$ (as nn m)		716b	47	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3641.html	"(S, sA) ϣⲛ ϩ.
(sA, B, F) ϣⲉⲛ ϩ.
(B) ϣⲁⲛ ϩ.
(F) ϣⲓⲛ ϩ.
(S, A, sA) ϣⲛ ϩⲧⲏ=
(S) ϣⲉⲛ(ⲉ) ϩⲧⲏ=
(S, A, sA, B, F) ϣⲁⲛ ϩⲧⲏ=
(S, B, F) ϣⲁⲛⲁ ϩⲧⲏ=
(S) ϣⲁⲛⲉ ϩⲧⲏ="	"(S, sA) ϣⲛ ϩ.
(sA, B, F) ϣⲉⲛ ϩ.
(B) ϣⲁⲛ ϩ.
(F) ϣⲓⲛ ϩ.
(S, A, sA) ϣⲛ ϩⲧⲏ=
(S) ϣⲉⲛ(ⲉ) ϩⲧⲏ=
(S, A, sA, B, F) ϣⲁⲛ ϩⲧⲏ=
(S, B, F) ϣⲁⲛⲁ ϩⲧⲏ=
(S) ϣⲁⲛⲉ ϩⲧⲏ="	ϣⲛ ϩ., ϣⲉⲛ ϩ., ϣⲁⲛ ϩ., ϣⲓⲛ ϩ., ϣⲛ ϩⲧⲏ=, ϣⲉⲛ ϩⲧⲏ=, ϣⲉⲛⲉ ϩⲧⲏ=, ϣⲁⲛ ϩⲧⲏ=, ϣⲁⲛⲁ ϩⲧⲏ=, ϣⲁⲛⲉ ϩⲧⲏ=	"(S, sA) ϣⲛ ϩ.
(sA, B, F) ϣⲉⲛ ϩ.
(B) ϣⲁⲛ ϩ.
(F) ϣⲓⲛ ϩ.
(S, A, sA) ϣⲛ ϩⲧⲏ=
(S) ϣⲉⲛ ϩⲧⲏ=, ϣⲉⲛⲉ ϩⲧⲏ=
(S, A, sA, B, F) ϣⲁⲛ ϩⲧⲏ=
(S, B, F) ϣⲁⲛⲁ ϩⲧⲏ=
(S) ϣⲁⲛⲉ ϩⲧⲏ="	-		"pitiful of heart
― <i>as vb</i>, have pity
― <i>as nn m</i>"	"pitiful of heart
― <i>as vb</i>, have pity
― <i>as nn m</i>"	"pitiful of heart
― <i>as vb</i>, have pity
― <i>as nn m</i>"	"pitiful of heart
― <i>as vb</i>, have pity
― <i>as nn m</i>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	"ϣⲛ ϩ.
ϣⲛ ϩⲧⲏ=
ϣⲉⲛ ϩⲧⲏ=, ϣⲉⲛⲉ ϩⲧⲏ=
ϣⲁⲛ ϩⲧⲏ=
ϣⲁⲛⲁ ϩⲧⲏ=
ϣⲁⲛⲉ ϩⲧⲏ="			"ϣⲛ ϩⲧⲏ=
ϣⲁⲛ ϩⲧⲏ="	"ϣⲛ ϩ.
ϣⲉⲛ ϩ.
ϣⲛ ϩⲧⲏ=
ϣⲁⲛ ϩⲧⲏ="	"ϣⲉⲛ ϩ.
ϣⲁⲛ ϩ.
ϣⲁⲛ ϩⲧⲏ=
ϣⲁⲛⲁ ϩⲧⲏ="	"ϣⲉⲛ ϩ.
ϣⲓⲛ ϩ.
ϣⲁⲛ ϩⲧⲏ=
ϣⲁⲛⲁ ϩⲧⲏ="				0
8047	19	3641	^^^ eJn-	0				716b	48	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8047.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	1
8048	19	3641	^^^ eHrai eJn-,^^^ eHrhi eJn-	0				716b	49	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8048.html	<i><b>c</b></i> ⲉϩⲣⲁⲓ ⲉϫⲛ-, <i><b>c</b></i> ⲉϩⲣⲏⲓ ⲉϫⲛ-	<i><b>c</b></i> ⲉϩⲣⲁⲓ ⲉϫⲛ-, <i><b>c</b></i> ⲉϩⲣⲏⲓ ⲉϫⲛ-	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	1
8049	19	3641	^^^ Ha-,^^^ Qa-,^^^ Ka-	0				716b	50	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8049.html	<i><b>c</b></i> ϩⲁ-, <i><b>c</b></i> ⳉⲁ-, <i><b>c</b></i> ϧⲁ-	<i><b>c</b></i> ϩⲁ-, <i><b>c</b></i> ⳉⲁ-, <i><b>c</b></i> ϧⲁ-	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=716b	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	ϩⲁ-, ⳉⲁ-, ϧⲁ- (c)	1
3642	19	3641	(B) at..Sen Hht.	0	pitiless /$gk: [[astorgos]]$/	pitiless /$gk: [[astorgos]]$/	astorgos	717a	51	2010-03-26	2010-03-26	vagrant	vagrant	https://pishoyg.github.io/crum/3642.html	(B) ⲁⲧϣⲉⲛ ϩⲏⲧ.	(B) ⲁⲧϣⲉⲛ ϩⲏⲧ.	ⲁⲧϣⲉⲛ ϩⲏⲧ.	(B) ⲁⲧϣⲉⲛ ϩⲏⲧ.	-	αστοργοσ	pitiless [αστοργοσ]	pitiless	"pitiless <span style=""opacity:0.7"">[αστοργοσ]</span>"	"pitiless <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%83%CF%84%CE%BF%CF%81%CE%B3%CE%BF%CF%83"">αστοργοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=717a						ⲁⲧϣⲉⲛ ϩⲏⲧ.					1
8050	19	3641	mntS.,metS.	0	pity, mercy /$gk: [[oiktirmos]]$/	pity, mercy /$gk: [[oiktirmos]]$/	oiktirmos	717a	52	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8050.html	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	-	οικτιρμοσ	pity, mercy [οικτιρμοσ]	pity, mercy	"pity, mercy <span style=""opacity:0.7"">[οικτιρμοσ]</span>"	"pity, mercy <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BF%CE%B9%CE%BA%CF%84%CE%B9%CF%81%CE%BC%CE%BF%CF%83"">οικτιρμοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=717a	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	1
8051	19	3641	(S) r nS.,o nS.	0				717a	53	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8051.html	(S) ⲣ ⲛϣ., ⲟ ⲛϣ.	(S) ⲣ ⲛϣ., ⲟ ⲛϣ.	ⲣ ⲛϣ., ⲟ ⲛϣ.	(S) ⲣ ⲛϣ., ⲟ ⲛϣ.	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=717a	ⲣ ⲛϣ., ⲟ ⲛϣ.										1
3643	19	3641	(B) reF..Sen Hht.	0	compassionate person /$gk: [[oiktirmwn]]$/	compassionate person /$gk: [[oiktirmwn]]$/	oiktirmwn	717a	54	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3643.html	(B) ⲣⲉϥϣⲉⲛ ϩⲏⲧ.	(B) ⲣⲉϥϣⲉⲛ ϩⲏⲧ.	ⲣⲉϥϣⲉⲛ ϩⲏⲧ.	(B) ⲣⲉϥϣⲉⲛ ϩⲏⲧ.	-	οικτιρμων	compassionate person [οικτιρμων]	compassionate person	"compassionate person <span style=""opacity:0.7"">[οικτιρμων]</span>"	"compassionate person <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BF%CE%B9%CE%BA%CF%84%CE%B9%CF%81%CE%BC%CF%89%CE%BD"">οικτιρμων</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=717a						ⲣⲉϥϣⲉⲛ ϩⲏⲧ.					1
8052	19	3641	(F) metleF..Sen H.	0				717a	55	2010-08-12	2010-08-12	vagrant	vagrant	https://pishoyg.github.io/crum/8052.html	(F) ⲙⲉⲧⲗⲉϥϣⲉⲛ ϩ.	(F) ⲙⲉⲧⲗⲉϥϣⲉⲛ ϩ.	ⲙⲉⲧⲗⲉϥϣⲉⲛ ϩ.	(F) ⲙⲉⲧⲗⲉϥϣⲉⲛ ϩ.	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=717a							ⲙⲉⲧⲗⲉϥϣⲉⲛ ϩ.				1
3644	19	0	(S,sA) Fi H.	0	take, captivate heart, delight	take, captivate heart, delight		717a	56	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3644.html	(S, sA) ϥⲓ ϩ.	(S, sA) ϥⲓ ϩ.	ϥⲓ ϩ.	(S, sA) ϥⲓ ϩ.	-		take, captivate heart, delight	take, captivate heart, delight	take, captivate heart, delight	take, captivate heart, delight	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=717a	ϥⲓ ϩ.				ϥⲓ ϩ.						0
