key	dawoud-pages	dawoud-pages-redone
3121		
1632	449b	
1643	449b	
1688	450a	
1704	450b,469a	
3102	450b	
1560	445a-445b,450b	
299	450b-451a	
1593	59a,476b	
1606	451b	
48	452a-452b	
1662		
1584	453b	
1664	453b-454a	
176	454a,91b	
3111	454b	
3114	454b	
3113	454b	
3110		
206	455a-455b	
1614	455b	
1562	456a-456b	
1585	457a	
3107		
3108		
1607	459a	
1610	459a-459b,478a	
1612	459b	
1030	459b	
3116		
1665	460a	
2315	460a	
1615	460b,480b	
1635	460b-461a	
1653		
1667	465b,466a	
214	467a	
222	464b-465b	
1600		
1669	466a	
338	466a-467a	
1672	467a-467b	
409	467b,467b-468a,468a	
1678	468b	
1620		
3125		
1625	469a,449b	
1622		
1627	469a	
1624		
1631	469b	
3124	469b	
1636	469b	
1634	469b,469a	
1628	469b	
1644		
1650	471a	
