αγελη,/,ɑgeliː,/,→,ajely,agely,اسم,/,مؤنث,يوناني,/,قطيع خنازير,قطيع مواشي كبيرة,جماعة,لمة,جمعية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγετε,/,ɑgete,/,→,ajete,agete,فعل,/,أمر,يوناني,/,هيا,هلم,فعل أمر للجمع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγια ,/,ɑgiɑ ,/,→,ajia ,agia ,اسم,/,مؤنث,يوناني,/,قديسة,مقدسة,نقية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγιαζιν,/,ɑgiɑzin,/,→,ajiazin,agiazin,فعل,/,صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول ,يوناني,/,يقدس,يطهر,ينقي,يكرس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγιαςμα,/,ɑgiɑsmɑ,/,→,ajiasma,agiasma,اسم,/,مذكر,يوناني,/,معبد,مقدس,هيكل,موضع عبادة,شيء مقدس,قداسة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγιαςμος,/,ɑgiɑsmos,/,→,ajiasmos,agiasmos,اسم,/,مذكر,يوناني,/,تقديس,تكريس,تدشين,تطهير,تنقية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγιον,/,ɑgion,/,→,ajion,agion,اسم,/,مذكر,يوناني,/,قدوس,قديس,مقدس,نقي,طاهر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγιος,/,ɑgios,/,→,ajios,agios,اسم,/,مذكر,يوناني,/,قدوس,قديس,مقدس,نقي,طاهر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγιοτης,/,ɑgiotiːs,/,→,ajiotys,agiotys,اسم,/,مؤنث,يوناني,/,قداسة,نقاوة,طهارة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγιωςυνη,/,ɑgioːsini:,/,→,ajiwsuny,agiwsiny,اسم,/,مؤنث,يوناني,/,تقديس,تكريس,تنقية,تطهير,قداسة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγιωτατος,/,ɑgioːtatos,/,→,ajiwtatos,agiwtatos,اسم,/,مذكر,يوناني,/,كلى القداسة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγκυλη,/,ɑnkiliː,/,→,ajkuly,ankily,اسم,/,مؤنث,يوناني,/,عروة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αγκυρα,/,ɑnkirɑ,/,→,ajkura,ankira,اسم,/,مؤنث,يوناني,/,مرساة,"هلب ، للسفينة",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
